card_id,bank,name,type,category,joining_fee,annual_fee,fee_waiver,forex,finance_pm,finance_pa,cash_advance,cash_interest,late_fee,network,network_confidence,rewards,lounge,badge,apply_url,match_status,data_status,source_section,source_url
hdfc-infinia-metal-edition,HDFC,Infinia (Metal Edition),retail,super_premium,12500,12500,₹10 Lakh / Annum,2,1.99,23.88,No cash advance transaction fee (excluded from the 2.5% levy; finance charges still accrue from withdrawal date),All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa,high,5 Reward Points per Rs.150 spent; up to 10X via SmartBuy; flight/hotel redemption up to maximum booking value via Reward Points,"Unlimited complimentary domestic airport lounge access in India; unlimited international airport lounge access outside India via Priority Pass (1,000+ lounges worldwide) for primary and add-on cardholders",invite only,https://www.hdfc.bank.in/credit-cards/infinia-credit-card,matched,needs_review,"Fee table p.2, Infinia (Metal Edition) row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-diners-black-metal-edition,HDFC,Diners Black Metal Edition,retail,super_premium,10000,10000,₹8 Lakh / Annum,2,1.99,23.88,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Diners Club,high,"Up to 10X Reward Points on SmartBuy; 10,000 bonus Reward Points on spends of Rs.4 lakhs every calendar quarter; flight/hotel bookings redeemable up to 70% of booking value via Reward Points","Unlimited airport lounge access to 1,300+ lounges in India and worldwide for primary and add-on members",metal card,https://www.hdfc.bank.in/credit-cards/diners-club-black-metal-edition-credit-card,matched,needs_review,"Fee table p.2 prints only the ₹8 Lakh/Annum waiver — joining/renewal fee cell blank in MITC; ₹10,000 + GST from HDFC product fees-and-charges page (needs_review)",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-bizblack-metal-card,HDFC,BizBlack Metal Card,retail,super_premium,10000,10000,₹7.5 Lakh / Annum,2,1.99,23.88,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Diners Club,high,"5X reward points on select business spends; maximum 1,50,000 Reward Points per statement cycle","Unlimited airport lounge access to 1,000+ lounges globally for primary and add-on cardholders",metal card,https://www.hdfc.bank.in/business-credit-cards/biz-black-credit-card,matched,needs_review,"Fee table p.2 prints only the ₹7.5 Lakh/Annum waiver — joining/renewal fee cell blank in MITC; ₹10,000 + GST from HDFC business-card fees-and-charges page (needs_review)",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-regalia-gold,HDFC,Regalia Gold,retail,premium,2500,2500,₹4 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard,high,"4 Reward Points per Rs.150 on retail spends; 20 Reward Points per Rs.150 at select partner outlets (Marks & Spencer, Myntra, Reliance Digital, Nykaa)","3 domestic lounge visits per quarter (on spends of Rs.60,000 in preceding quarter); up to 6 international lounge accesses via Priority Pass for primary and add-on member",premium,https://www.hdfc.bank.in/credit-cards/regalia-gold-credit-card,matched,needs_review,"Fee table p.2, Regalia Gold row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-bizpower,HDFC,BizPower,retail,premium,,,,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Diners Club,low,,,premium,https://www.hdfc.bank.in/business-credit-cards/biz-power-credit-card,matched,needs_review,"Fee table p.2, BizPower row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-tata-neu-infinity-hdfc-bank,HDFC,Tata Neu Infinity HDFC Bank,retail,premium,1499,1499,₹3 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",RuPay/Visa,high,5% NeuCoins on partner Tata brands (online and in-store); 1.5% NeuCoins on domestic and international purchases outside Tata brands,8 complimentary domestic lounge accesses per year (2 per quarter); 4 complimentary international lounge accesses per year (1 per quarter),premium,https://www.hdfc.bank.in/credit-cards/tata-neu-infinity-hdfc-bank-credit-card,matched,needs_review,"Fee table p.2, Tata Neu Infinity HDFC Bank row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-6e-rewards-indigo-xl,HDFC,6E Rewards Indigo XL,retail,,1500,1500,,2.5,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa,medium,,,,,unmatched,needs_review,"Fee table p.3, 6E Rewards Indigo XL row (waiver NA)",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-regalia-first,HDFC,Regalia First,retail,,1000,1000,₹1 Lakh / Annum,3.5,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard,high,,,,,unmatched,needs_review,"Fee table p.3, Regalia First, Business Regalia First row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-business-regalia-first,HDFC,Business Regalia First,business,,1000,1000,₹1 Lakh / Annum,3.5,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard,high,,,,,unmatched,needs_review,"Fee table p.3, Regalia First, Business Regalia First row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-diners-club-rewardz,HDFC,Diners Club Rewardz,retail,,,,,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Diners Club,high,,,,,unmatched,needs_review,"Fee table p.3, Diners Club Rewardz row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
