card_id,bank,name,severity,failed_checks,annual_fee,forex,finance_pm,apply_url_status,source_section
amex-american-express-gold-card,American Express,American Express® Gold Card,BLOCKER,apply_url off-domain; no lounge; no badge,4500,3.5,3.5,foreign-host:americanexpress.com,"Section (a)(ii) Annual Membership Fee table, American Express® Gold Card row: 'F"
amex-american-express-platinum-card,American Express,American Express® Platinum Card,BLOCKER,apply_url off-domain,66000,3.5,3.5,foreign-host:americanexpress.com,"Section (a)(ii) Annual Membership Fee table, American Express® Platinum Card row"
axis-ace-credit-card,Axis,ACE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no badge,499,3.5,3.75,ok-format,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.3-4), ACE C"
axis-airtel-axis-bank-credit-card,Axis,AIRTEL AXIS BANK Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no badge,500,3.5,3.75,ok-format,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.3), AIRTEL "
axis-aura-credit-card,Axis,AURA Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,749,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.6), AURA Cr"
axis-axis-bank-atlas-credit-card,Axis,AXIS BANK ATLAS Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain,5000,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.4), AXIS BA"
axis-axis-bank-buzz-credit-card,Axis,AXIS BANK BUZZ Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,750,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.2), AXIS BA"
axis-axis-bank-cashback-credit-card,Axis,Axis Bank Cashback Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no lounge; no badge,1000,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.9), Axis Ba"
axis-axis-bank-easy-gold-salaried-and-axis-bank-easy-gold-credit-card-self-employed,Axis,AXIS Bank Easy Gold - Salaried and Axis Bank Easy Gold Credit Card - Self Employed,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,100,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.8), AXIS Ba"
axis-axis-bank-freecharge-credit-card,Axis,AXIS BANK FREECHARGE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,250,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.3), AXIS BA"
axis-axis-bank-freecharge-plus-credit-card,Axis,AXIS BANK FREECHARGE PLUS Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,350,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.3), AXIS BA"
axis-axis-bank-horizon-credit-card,Axis,Axis Bank HORIZON Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain,3000,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.9), Axis Ba"
axis-axis-bank-infinite-credit-card,Axis,AXIS BANK INFINITE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,0,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.2), AXIS BA"
axis-axis-bank-olympus-credit-card,Axis,Axis Bank OLYMPUS Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,20000,1.8,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.9), Axis Ba"
axis-axis-bank-primus-credit-card,Axis,Axis Bank PRIMUS Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge,300000,0,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.10), Axis B"
axis-axis-bank-shoppers-stop-credit-card,Axis,Axis Bank SHOPPERS STOP Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,500,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.9), Axis Ba"
axis-axis-bank-supermoney-rupay-credit-card,Axis,Axis Bank SUPERMONEY RuPay Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,0,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.10), Axis B"
axis-axis-bank-vistara-credit-card,Axis,AXIS BANK VISTARA Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,1500,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.6), AXIS BA"
axis-axis-bank-vistara-infinite-credit-card,Axis,AXIS BANK VISTARA INFINITE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,10000,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.5), AXIS BA"
axis-axis-bank-vistara-signature-credit-card,Axis,AXIS BANK VISTARA SIGNATURE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,3000,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.5-6), AXIS "
axis-burgundy-private-the-one-card,Axis,BURGUNDY PRIVATE - The One Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge,50000,0,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.4-5), BURGU"
axis-fibe-axis-bank-credit-card,Axis,FIBE Axis Bank Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,0,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.8), FIBE Ax"
axis-flipkart-axis-bank-credit-card,Axis,FLIPKART AXIS BANK Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no badge,500,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.2), FLIPKAR"
axis-flipkart-axis-bank-super-elite-credit-card,Axis,FLIPKART AXIS BANK SUPER ELITE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,500,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.2), FLIPKAR"
axis-google-pay-flex-axis-bank-credit-card,Axis,Google Pay Flex Axis Bank Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,0,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.10), Google"
axis-ikea-family-credit-card-by-axis-bank,Axis,IKEA Family Credit Card by Axis Bank,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,0,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.9), IKEA Fa"
axis-indian-oil-axis-bank-credit-card,Axis,INDIAN OIL AXIS BANK Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no lounge; no badge,500,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.2), INDIAN "
axis-indianoil-axis-bank-premium-credit-card,Axis,IndianOil Axis Bank Premium Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no badge,1000,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.9), IndianO"
axis-indigo-axis-bank-credit-card,Axis,IndiGo Axis Bank Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no badge,799,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.10), IndiGo"
axis-indigo-axis-bank-premium-credit-card,Axis,IndiGo Axis Bank Premium Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no lounge,5000,2.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.10), IndiGo"
axis-kwik-credit-card,Axis,KWIK Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,0,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.8), KWIK Cr"
axis-lic-credit-cards,Axis,LIC Credit Cards,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,0,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.6), LIC Cre"
axis-magnus-credit-card,Axis,MAGNUS Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain,12500,2,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.5), MAGNUS "
axis-magnus-for-burgundy-credit-card,Axis,MAGNUS FOR BURGUNDY Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,30000,2,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.5), MAGNUS "
axis-miles-and-more-axis-bank-world-credit-card,Axis,MILES and MORE Axis Bank World Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,3500,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.6), MILES a"
axis-miles-and-more-axis-bank-world-select-credit-card,Axis,MILES and MORE Axis Bank World Select Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,4500,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.6), MILES a"
axis-my-choice-credit-card,Axis,MY CHOICE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,250,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.7), MY CHOI"
axis-my-wings-credit-card,Axis,MY WINGS Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,500,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.7), MY WING"
axis-my-zone-credit-card,Axis,MY ZONE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no badge,500,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.7), MY ZONE"
